answer,category,"Which data type in Go can store a number?","Which data type in Go can store text?","What can we use to work with a hash table in Go?","How can we store multiple elements in Go?","What can be used as a key in a hash table in Go?","What can be passed to a function as an argument in Go?","Which mechanisms does Go have for error handling?"
true,programming,-7,-8,-8,-8,3,6,-7
false,programming,-7,-8,-8,-8,3,6,-7
nil,programming,-8,-8,-8,-8,-6,5,5
struct,programming,-6,-5,-5,6,6,7,-4
struct{},programming,-6,-5,-5,7,7,7,-4
interface,programming,-5,-4,-6,-5,3,7,4
interface{},programming,-3,-3,-5,-4,4,8,3
any,programming,-3,-3,-5,-4,4,8,-5
func,programming,-8,-8,-8,-8,-8,7,-7
func(),programming,-8,-8,-8,-8,-8,7,-7
return,programming,-8,-8,-8,-8,-8,-8,4
defer,programming,-8,-8,-8,-8,-8,-8,6
go,programming,-8,-8,-8,-8,-8,-8,-8
var,programming,-8,-8,-8,-8,-8,-8,-8
const,programming,-8,-8,-8,-8,-8,-8,-8
if,programming,-8,-8,-8,-8,-8,-8,3
else,programming,-8,-8,-8,-8,-8,-8,-7
switch,programming,-8,-8,-8,-8,-8,-8,-5
case,programming,-8,-8,-8,-8,-8,-8,-6
fallthrough,programming,-8,-8,-8,-8,-8,-8,-8
default,programming,-8,-8,-8,-8,-8,-8,-8
goto,programming,-8,-8,-8,-8,-8,-8,-8
for,programming,-8,-8,-7,-8,-8,-8,-8
range,programming,-8,-8,-5,-7,-8,-7,-8
break,programming,-8,-8,-8,-8,-8,-8,-8
continue,programming,-8,-8,-8,-8,-8,-8,-8
error,programming,-7,-6,-8,-8,-5,7,10
panic,programming,-8,-8,-8,-8,-8,-7,8
recover,programming,-8,-8,-8,-8,-8,-7,8
int,programming,10,-8,-8,-8,9,9,-8
uint8,programming,9,-5,-8,-8,9,8,-8
float32,programming,9,-8,-8,-8,7,8,-8
float64,programming,9,-8,-8,-8,7,8,-8
complex128,programming,8,-8,-8,-8,6,7,-8
byte,programming,7,4,-8,-8,8,8,-8
rune,programming,6,4,-8,-8,8,8,-8
uintptr,programming,5,-8,-8,-8,7,7,-8
string,programming,-8,10,-8,4,9,9,-6
array,programming,-3,-3,-5,8,5,7,-8
slice,programming,-3,-3,-5,10,-8,8,-8
map,programming,-5,-6,10,7,-8,8,-8
make,programming,-8,-8,6,-5,-8,-6,-8
delete,programming,-8,-8,6,-8,-8,-8,-8
min,programming,-5,-8,-8,-8,-8,-6,-8
max,programming,-5,-8,-8,-8,-8,-6,-8
goroutine,programming,-8,-8,-8,-8,-8,-5,-7
channel,programming,-8,-8,-8,4,3,8,-6
chan,programming,-8,-8,-8,4,3,8,-6
select,programming,-8,-8,-8,-8,-8,-8,-7
sync,programming,-8,-8,-5,-7,-8,-6,-7
sync.Map,programming,-8,-8,8,5,-8,6,-8
sync.Mutex,programming,-8,-8,3,-7,-8,6,-8
sync.RWMutex,programming,-8,-8,3,-7,-8,6,-8
sync.WaitGroup,programming,-8,-8,-6,-7,-8,6,-8
context,programming,-8,-8,-8,-8,-5,7,3
